id_cliente,nome_cliente,cpf,cidade,estado,canal_preferencial,data_cadastro
68,Gabriela Silva Barbosa,256.344.229-70,Curitiba,PR,E-commerce,2024-03-22
69,Mateus Lima Ribeiro,271.720.721-24,Brasília,DF,Loja Física,2024-09-29
70,Gabriel Silva Gomes,689.793.484-60,Rio de Janeiro,RJ,Loja Física,2023-06-05
71,Mateus Rocha Pereira,204.813.891-48,Campinas,SP,E-commerce,2023-03-26
72,Vanessa Carvalho Dias,479.170.618-92,Salvador,BA,Redes Sociais,2023-01-26
73,Sofia Souza Carvalho,470.750.948-68,Recife,PE,Loja Física,2025-06-10
74,Aline Soares Rocha,376.730.927-78,Belo Horizonte,MG,Indicação,2025-08-10
75,Aline Vieira Lima,430.972.351-21,Recife,PE,Redes Sociais,2025-07-12
76,Rafael Vieira Barbosa,784.488.444-13,Curitiba,PR,Indicação,2024-10-27
77,Sofia Alves Ribeiro,916.364.448-45,Belo Horizonte,MG,Redes Sociais,2023-01-21
78,Gabriela Oliveira Pereira,837.516.600-81,Goiânia,GO,Loja Física,2025-09-02
79,Rafael Silva Oliveira,401.326.514-98,Brasília,DF,Loja Física,2024-09-19
80,Mariana Lopes Fernandes,643.452.535-80,Campinas,SP,Redes Sociais,2024-12-21
81,Isabela Gomes Lima,336.223.838-34,Brasília,DF,Redes Sociais,2023-09-02
82,Mateus Ferreira Alves,321.856.595-45,Goiânia,GO,Redes Sociais,2023-07-25
83,João Pereira Ribeiro,283.409.114-78,Curitiba,PR,Loja Física,2024-07-15
84,Bruno Fernandes Gomes,814.229.753-72,São Paulo,SP,E-commerce,2023-01-26
85,João Lopes Lopes,551.448.288-16,Campinas,SP,Redes Sociais,2025-09-05
86,Carla Martins Lopes,175.690.744-97,Rio de Janeiro,RJ,E-commerce,2023-11-07
87,Gabriel Gomes Oliveira,354.221.671-63,Belo Horizonte,MG,Loja Física,2025-12-06
88,Rafael Almeida Gomes,980.702.539-49,Recife,PE,E-commerce,2023-07-23
89,Rodrigo Alves Lima,776.183.260-40,Curitiba,PR,Loja Física,2023-06-03
90,Ana Carvalho Almeida,805.708.581-47,Belo Horizonte,MG,E-commerce,2024-04-19
91,Mateus Gomes Nascimento,980.564.172-97,Porto Alegre,RS,Loja Física,2024-06-25
92,Juliana Alves Carvalho,217.657.330-92,Campinas,SP,Loja Física,2024-06-28
93,Carla Santos Ferreira,911.414.709-82,Belo Horizonte,MG,Redes Sociais,2025-06-18
94,Rafael Nascimento Gomes,816.512.378-74,Rio de Janeiro,RJ,Indicação,2025-06-15
95,Camila Santos Carvalho,852.430.718-42,Rio de Janeiro,RJ,E-commerce,2023-07-07
96,Juliana Vieira Vieira,121.883.788-44,Curitiba,PR,E-commerce,2023-12-25
97,Thiago Rocha Almeida,384.285.699-65,Brasília,DF,Indicação,2023-07-06
98,Mariana Carvalho Costa,428.786.207-30,Brasília,DF,Redes Sociais,2025-04-23
99,João Dias Martins,933.878.663-14,Brasília,DF,Indicação,2023-06-30
100,Isabela Costa Souza,891.513.985-75,Salvador,BA,E-commerce,2025-08-04
101,Bruno Alves Soares,470.737.874-73,Recife,PE,Indicação,2023-04-16
102,Isabela Fernandes Rodrigues,394.548.815-72,Curitiba,PR,E-commerce,2023-03-01
103,Henrique Nascimento Ferreira,418.664.114-80,Campinas,SP,Indicação,2023-07-10
104,Diego Almeida Souza,763.952.257-73,Curitiba,PR,Redes Sociais,2025-11-08
105,Patricia Lopes Lopes,349.567.664-28,Porto Alegre,RS,Indicação,2024-01-26
106,Thiago Andrade Rodrigues,984.171.382-63,Campinas,SP,Redes Sociais,2025-11-05
107,Ana Gomes Andrade,405.957.701-84,Porto Alegre,RS,Indicação,2023-11-01
108,Vanessa Lopes Ribeiro,440.665.881-79,Brasília,DF,Indicação,2025-07-21
109,Gabriela Nascimento Pereira,685.492.339-62,Salvador,BA,E-commerce,2024-10-13
110,Mateus Martins Martins,779.911.940-93,Brasília,DF,Loja Física,2025-10-11
111,Eduarda Soares Vieira,439.990.202-66,São Paulo,SP,E-commerce,2025-12-13
112,Ana Andrade Rodrigues,519.991.770-29,Brasília,DF,E-commerce,2025-08-19
113,Lucas Barbosa Nascimento,507.765.182-52,Porto Alegre,RS,Indicação,2024-10-10
114,Vanessa Santos Barbosa,170.340.746-97,Brasília,DF,Redes Sociais,2024-04-10
115,Patricia Souza Rocha,820.993.202-66,Rio de Janeiro,RJ,Loja Física,2024-09-05
116,Bruno Costa Santos,400.467.483-65,São Paulo,SP,Loja Física,2024-05-15
117,Patricia Vieira Dias,911.284.274-32,Goiânia,GO,E-commerce,2025-02-22
118,Juliana Pereira Lopes,697.246.337-69,Campinas,SP,Redes Sociais,2025-07-30
119,Juliana Silva Almeida,394.793.659-30,Porto Alegre,RS,E-commerce,2025-06-23
120,Gabriel Gomes Rocha,534.806.356-68,Salvador,BA,Redes Sociais,2024-02-12
121,Sofia Souza Pereira,490.685.467-83,Recife,PE,Redes Sociais,2024-08-27
122,Juliana Martins Lima,108.679.985-97,São Paulo,SP,E-commerce,2025-10-14
123,Henrique Barbosa Ribeiro,324.751.294-89,Porto Alegre,RS,Redes Sociais,2023-10-08
124,Rodrigo Rocha Santos,416.907.551-14,Rio de Janeiro,RJ,Redes Sociais,2023-09-27
125,João Costa Andrade,525.279.305-26,Rio de Janeiro,RJ,Redes Sociais,2025-12-23
126,Isabela Ferreira Lima,944.593.925-47,Goiânia,GO,Redes Sociais,2023-08-24
127,Carla Rodrigues Pereira,980.792.841-96,Brasília,DF,Indicação,2025-01-19
128,Natan Silva Lima,649.226.565-57,Rio de Janeiro,RJ,Redes Sociais,2025-02-19
129,Diego Dias Pereira,582.125.734-81,Salvador,BA,Redes Sociais,2024-03-29
130,Rodrigo Almeida Nascimento,409.764.518-24,Rio de Janeiro,RJ,Loja Física,2023-04-03
131,João Lopes Souza,199.340.650-27,São Paulo,SP,Indicação,2025-07-18
132,Juliana Andrade Nascimento,653.529.701-29,Salvador,BA,Indicação,2023-07-22
133,Camila Carvalho Lima,133.806.479-37,Brasília,DF,Indicação,2025-06-29
134,Mariana Souza Dias,476.657.760-55,Curitiba,PR,E-commerce,2025-03-26
135,Gabriela Souza Almeida,193.778.317-92,Porto Alegre,RS,E-commerce,2023-04-14
136,Henrique Rodrigues Vieira,310.170.949-80,Salvador,BA,Loja Física,2024-03-18
137,Lucas Rodrigues Barbosa,102.383.979-28,Curitiba,PR,Loja Física,2024-05-28
138,Diego Dias Silva,234.115.466-40,Belo Horizonte,MG,Redes Sociais,2023-02-02
139,Isabela Santos Rodrigues,859.531.638-24,Belo Horizonte,MG,E-commerce,2025-09-02
140,Mariana Soares Vieira,211.562.615-38,Brasília,DF,E-commerce,2025-12-03
141,Rafael Rocha Silva,162.590.967-61,Porto Alegre,RS,Indicação,2023-08-10
142,Mateus Almeida Oliveira,182.429.722-28,Brasília,DF,E-commerce,2023-09-16
143,Camila Rocha Vieira,661.829.432-58,Porto Alegre,RS,Redes Sociais,2025-07-18
144,Camila Carvalho Souza,912.818.217-93,Goiânia,GO,Loja Física,2025-05-30
145,Henrique Carvalho Costa,947.564.508-63,Brasília,DF,E-commerce,2024-10-02
146,Lucas Dias Lima,483.256.803-70,Recife,PE,E-commerce,2023-07-06
147,Carla Carvalho Souza,862.856.481-26,Rio de Janeiro,RJ,E-commerce,2024-11-06
148,Patricia Ribeiro Dias,868.533.988-16,Rio de Janeiro,RJ,Redes Sociais,2024-10-01
149,Diego Vieira Soares,317.258.772-71,Salvador,BA,Loja Física,2023-08-10
150,Vanessa Ribeiro Souza,880.385.687-38,Salvador,BA,Indicação,2023-02-23
151,Juliana Nascimento Lima,129.284.379-99,Campinas,SP,Redes Sociais,2024-11-26
152,Ana Ferreira Rodrigues,679.773.510-18,Salvador,BA,Loja Física,2023-03-04
153,Aline Soares Alves,485.529.564-53,Rio de Janeiro,RJ,Loja Física,2025-01-27
154,Aline Costa Vieira,710.186.153-29,Porto Alegre,RS,Loja Física,2023-04-12
155,Isabela Almeida Dias,534.597.721-66,Rio de Janeiro,RJ,Indicação,2024-07-13
156,Thiago Souza Ribeiro,540.213.390-96,Curitiba,PR,Indicação,2025-12-15
157,Bruno Pereira Martins,713.156.107-36,Porto Alegre,RS,Redes Sociais,2024-03-08
158,Isabela Gomes Costa,222.107.609-65,Belo Horizonte,MG,Loja Física,2023-09-22
159,Vanessa Nascimento Pereira,612.672.953-95,Recife,PE,Redes Sociais,2023-05-28
160,Aline Santos Carvalho,119.570.179-50,Recife,PE,Indicação,2025-04-08
161,João Souza Martins,121.432.275-89,Recife,PE,Indicação,2025-01-11
162,Patricia Souza Pereira,546.703.510-77,Rio de Janeiro,RJ,E-commerce,2025-03-21
163,Aline Costa Pereira,441.897.272-19,Porto Alegre,RS,E-commerce,2025-12-22
164,Gabriela Ribeiro Ribeiro,844.938.760-28,Goiânia,GO,Loja Física,2023-07-30
165,Isabela Alves Ferreira,716.256.878-93,Belo Horizonte,MG,E-commerce,2023-12-29
166,Rafael Vieira Vieira,559.797.678-92,Brasília,DF,Redes Sociais,2024-10-09
167,Rafael Oliveira Lopes,552.746.410-45,Belo Horizonte,MG,E-commerce,2024-12-21
168,Carla Gomes Almeida,562.138.158-57,Goiânia,GO,Redes Sociais,2023-06-07
169,Camila Barbosa Soares,493.573.694-80,Rio de Janeiro,RJ,E-commerce,2025-07-10
170,Rodrigo Alves Costa,719.587.613-29,Campinas,SP,E-commerce,2025-07-11
171,Lucas Nascimento Oliveira,616.761.276-15,Rio de Janeiro,RJ,Loja Física,2025-06-15
172,Thiago Soares Barbosa,262.472.481-46,Brasília,DF,Indicação,2025-04-17
173,Juliana Barbosa Santos,908.746.762-52,Salvador,BA,E-commerce,2024-11-06
174,Vanessa Dias Martins,390.358.841-94,Rio de Janeiro,RJ,Loja Física,2024-11-13
175,Gabriel Dias Rodrigues,458.417.771-99,Rio de Janeiro,RJ,Indicação,2023-09-22
176,Mateus Oliveira Gomes,672.485.758-52,Campinas,SP,Loja Física,2025-12-14
177,Rodrigo Dias Carvalho,620.470.118-56,Rio de Janeiro,RJ,Redes Sociais,2024-01-05
178,Lucas Lopes Alves,331.240.258-19,Curitiba,PR,Redes Sociais,2023-07-27
179,Vanessa Andrade Soares,138.777.444-89,Goiânia,GO,Loja Física,2025-02-10
180,Felipe Ferreira Nascimento,889.739.928-31,Belo Horizonte,MG,Indicação,2023-03-31
181,Mariana Dias Andrade,343.554.725-46,Recife,PE,Indicação,2024-04-24
182,Henrique Gomes Lopes,955.298.476-96,Goiânia,GO,Indicação,2025-08-03
183,Natan Soares Soares,528.265.936-35,Porto Alegre,RS,Loja Física,2024-05-27
184,Rodrigo Lopes Ribeiro,667.205.828-76,São Paulo,SP,E-commerce,2024-08-06
185,Felipe Lima Almeida,625.250.950-65,Rio de Janeiro,RJ,E-commerce,2024-03-30
186,Mariana Silva Carvalho,154.505.614-57,Brasília,DF,Loja Física,2025-03-01
187,Mariana Pereira Silva,426.201.959-93,Rio de Janeiro,RJ,Redes Sociais,2023-10-27
188,Bruno Gomes Lopes,812.951.242-70,Belo Horizonte,MG,Indicação,2023-01-11
189,Ana Lima Alves,955.253.661-87,Rio de Janeiro,RJ,Indicação,2023-08-16
190,Henrique Gomes Souza,148.344.529-91,Porto Alegre,RS,Indicação,2023-05-09
191,Sofia Barbosa Fernandes,116.747.627-83,Rio de Janeiro,RJ,Loja Física,2023-10-22
192,Patricia Silva Barbosa,461.346.684-63,Porto Alegre,RS,Loja Física,2023-06-25
193,Mariana Oliveira Soares,657.619.905-74,Goiânia,GO,E-commerce,2025-03-10
194,Bruno Rocha Martins,482.359.865-12,Brasília,DF,Redes Sociais,2023-05-19
195,Henrique Andrade Dias,743.206.890-84,Salvador,BA,Redes Sociais,2023-10-01
196,Mariana Fernandes Costa,933.758.279-97,São Paulo,SP,Indicação,2025-09-07
197,Eduarda Oliveira Nascimento,894.568.137-47,Belo Horizonte,MG,Loja Física,2023-03-31
198,Bruno Costa Gomes,627.507.934-79,Curitiba,PR,Indicação,2024-06-02
199,Rodrigo Alves Gomes,465.982.899-16,São Paulo,SP,Redes Sociais,2024-07-13
200,Mariana Carvalho Martins,861.550.495-53,Rio de Janeiro,RJ,Loja Física,2025-10-13
201,Mariana Soares Lima,920.184.844-64,Brasília,DF,E-commerce,2025-05-31
202,Felipe Fernandes Gomes,428.205.181-51,Campinas,SP,Redes Sociais,2024-09-19
203,Camila Nascimento Carvalho,270.806.554-54,Brasília,DF,Indicação,2023-03-28
204,Camila Carvalho Lima,754.910.158-19,Salvador,BA,Indicação,2025-01-14
205,Aline Dias Ferreira,131.246.969-87,Goiânia,GO,Indicação,2023-03-13
206,Carla Pereira Rocha,475.470.492-82,Belo Horizonte,MG,E-commerce,2023-11-11
207,Mariana Ribeiro Almeida,881.178.687-27,Brasília,DF,Redes Sociais,2025-03-26
208,Rodrigo Lima Pereira,216.126.853-33,Salvador,BA,Indicação,2025-11-26
209,Vanessa Souza Lima,893.366.820-67,Recife,PE,Loja Física,2024-08-07
210,Gabriela Souza Rodrigues,973.175.562-32,Brasília,DF,Indicação,2023-06-29
211,Juliana Ribeiro Nascimento,166.663.655-47,Salvador,BA,Redes Sociais,2023-11-19
212,Mariana Soares Pereira,224.305.911-27,Belo Horizonte,MG,Loja Física,2025-10-08
213,Mariana Fernandes Vieira,477.578.922-80,São Paulo,SP,Loja Física,2023-06-26
214,João Martins Nascimento,836.590.638-62,Rio de Janeiro,RJ,Indicação,2023-06-01
215,Lucas Rocha Oliveira,560.577.796-76,Belo Horizonte,MG,Redes Sociais,2023-09-20
216,Rodrigo Vieira Ferreira,886.232.543-74,Goiânia,GO,E-commerce,2023-09-12
217,Eduarda Gomes Ferreira,265.430.826-38,Goiânia,GO,Redes Sociais,2025-11-28
218,Carla Lima Alves,750.664.381-26,Porto Alegre,RS,Redes Sociais,2025-12-28
219,Thiago Rocha Ferreira,706.694.257-31,Rio de Janeiro,RJ,Redes Sociais,2023-03-26
220,Carla Santos Rocha,889.690.371-93,São Paulo,SP,Loja Física,2025-05-03
221,Rodrigo Silva Lopes,742.658.396-92,Campinas,SP,Redes Sociais,2025-09-16
222,Juliana Martins Gomes,564.174.805-17,Curitiba,PR,Loja Física,2025-06-19
223,Sofia Almeida Alves,448.721.247-50,Recife,PE,Redes Sociais,2024-12-08
224,Eduarda Ribeiro Soares,675.208.426-40,Recife,PE,Indicação,2023-09-08
225,Rafael Pereira Rodrigues,199.151.397-59,Porto Alegre,RS,Indicação,2024-05-23
226,Lucas Vieira Andrade,420.294.881-30,Belo Horizonte,MG,Indicação,2025-11-20
227,Sofia Gomes Lopes,123.192.502-74,Brasília,DF,Indicação,2024-05-08
228,Gabriel Ribeiro Santos,151.388.606-86,Curitiba,PR,Indicação,2024-08-08
229,Ana Souza Carvalho,237.370.844-56,Goiânia,GO,Indicação,2025-01-19
230,Natan Santos Vieira,675.299.471-80,São Paulo,SP,Redes Sociais,2023-05-31
231,Thiago Almeida Fernandes,386.945.738-97,Recife,PE,E-commerce,2023-09-21
232,Natan Ribeiro Costa,671.474.873-28,Rio de Janeiro,RJ,Loja Física,2025-11-08
233,Thiago Santos Santos,139.240.830-52,Recife,PE,Indicação,2025-11-29
234,Eduarda Barbosa Soares,243.435.727-50,Brasília,DF,Loja Física,2025-03-15
235,Aline Gomes Vieira,444.619.948-75,Campinas,SP,Indicação,2024-09-05
236,Ana Ribeiro Costa,789.212.526-84,Brasília,DF,Redes Sociais,2023-02-24
237,Sofia Lima Rocha,901.894.692-83,Campinas,SP,Loja Física,2023-04-16
238,Sofia Ferreira Soares,744.838.734-58,Campinas,SP,Loja Física,2024-05-11
239,Gabriel Nascimento Souza,295.119.551-50,São Paulo,SP,Indicação,2023-11-07
240,Mateus Alves Carvalho,613.893.726-70,Recife,PE,E-commerce,2023-10-10
241,Gabriela Fernandes Costa,778.589.638-58,Goiânia,GO,Redes Sociais,2023-12-21
242,Vanessa Costa Fernandes,462.792.890-97,Brasília,DF,Redes Sociais,2025-09-18
243,Henrique Lima Fernandes,405.330.404-46,Curitiba,PR,Loja Física,2025-09-28
244,Sofia Ribeiro Fernandes,914.838.380-46,Salvador,BA,E-commerce,2025-02-16
245,Mariana Rodrigues Gomes,143.394.831-20,Recife,PE,Redes Sociais,2025-06-24
246,Aline Lopes Alves,306.947.651-44,Porto Alegre,RS,Redes Sociais,2023-10-09
247,Camila Andrade Vieira,345.348.151-95,Rio de Janeiro,RJ,Loja Física,2024-04-21
248,Diego Carvalho Costa,834.583.202-97,São Paulo,SP,Loja Física,2023-01-11
249,Felipe Carvalho Rocha,999.587.588-93,Goiânia,GO,Loja Física,2024-08-11
250,João Rocha Santos,887.191.767-83,Salvador,BA,Loja Física,2025-12-31
251,Felipe Carvalho Ferreira,137.956.506-73,São Paulo,SP,Loja Física,2024-08-15
252,Ana Gomes Vieira,717.209.443-46,São Paulo,SP,Indicação,2025-12-09
253,Eduarda Soares Almeida,379.297.928-24,Brasília,DF,Redes Sociais,2023-11-29
254,Rodrigo Lima Nascimento,290.114.854-53,Brasília,DF,Redes Sociais,2024-01-31
255,Camila Rocha Martins,946.537.627-51,Belo Horizonte,MG,E-commerce,2025-03-31
256,Felipe Rodrigues Lopes,431.354.106-43,Rio de Janeiro,RJ,Indicação,2024-04-27
257,Isabela Costa Gomes,696.840.686-11,Brasília,DF,Redes Sociais,2025-01-06
258,Bruno Dias Souza,576.414.263-61,Curitiba,PR,Redes Sociais,2023-08-29
259,Mariana Barbosa Pereira,324.236.589-29,Porto Alegre,RS,Indicação,2025-02-04
260,Mateus Fernandes Lopes,875.650.921-95,Recife,PE,Loja Física,2024-05-21
261,Carla Soares Almeida,640.820.470-19,Campinas,SP,E-commerce,2023-05-07
262,Thiago Alves Vieira,649.253.268-51,Goiânia,GO,Indicação,2023-08-27
263,Mateus Vieira Lopes,193.622.556-17,Curitiba,PR,Indicação,2023-09-28
264,Patricia Almeida Vieira,159.672.573-96,Goiânia,GO,Redes Sociais,2023-02-14
265,Isabela Silva Andrade,323.692.174-15,Recife,PE,Indicação,2024-12-06
266,Vanessa Santos Oliveira,583.132.393-62,Rio de Janeiro,RJ,Loja Física,2023-10-05
267,Mariana Martins Almeida,990.486.484-20,Recife,PE,Loja Física,2024-12-13
268,Felipe Fernandes Martins,641.230.845-38,Rio de Janeiro,RJ,E-commerce,2023-02-16
269,Rafael Dias Andrade,657.534.644-58,Porto Alegre,RS,Loja Física,2024-05-21
270,Mariana Rodrigues Lima,293.996.842-24,Brasília,DF,E-commerce,2025-05-08
271,Ana Pereira Alves,168.203.708-14,Campinas,SP,Indicação,2023-04-10
272,Aline Santos Martins,549.339.652-37,Curitiba,PR,E-commerce,2023-10-14
273,João Pereira Andrade,689.426.691-86,Goiânia,GO,Redes Sociais,2024-04-30
274,Eduarda Dias Soares,326.523.407-45,Porto Alegre,RS,E-commerce,2023-12-25
275,Vanessa Lopes Santos,452.758.787-58,Recife,PE,Redes Sociais,2025-05-02
276,Eduarda Gomes Martins,288.872.650-70,Recife,PE,Loja Física,2024-04-06
277,Mateus Rodrigues Almeida,159.675.522-63,Porto Alegre,RS,Loja Física,2025-03-06
278,Isabela Alves Costa,762.180.560-57,Curitiba,PR,E-commerce,2024-01-26
279,Isabela Martins Dias,719.717.140-19,São Paulo,SP,Loja Física,2024-03-20
280,Gabriela Costa Gomes,115.316.294-25,Brasília,DF,Indicação,2024-05-11
281,Mateus Alves Martins,345.665.429-46,Campinas,SP,Indicação,2025-08-12
282,Rodrigo Ribeiro Gomes,367.468.625-73,Goiânia,GO,Indicação,2023-07-21
283,Lucas Alves Ribeiro,420.523.146-82,Brasília,DF,Loja Física,2023-10-26
284,Isabela Fernandes Vieira,693.837.527-47,São Paulo,SP,Loja Física,2024-02-06
285,Henrique Martins Vieira,953.351.611-80,Salvador,BA,Redes Sociais,2024-06-11
286,Aline Rocha Andrade,602.571.272-55,Brasília,DF,Loja Física,2023-10-14
287,Sofia Ferreira Fernandes,757.160.636-14,Goiânia,GO,E-commerce,2023-04-10
288,Patricia Rodrigues Rocha,336.169.824-29,São Paulo,SP,E-commerce,2024-03-23
289,Rafael Ribeiro Santos,732.753.782-88,Goiânia,GO,Indicação,2025-09-26
290,Ana Fernandes Fernandes,521.112.117-77,São Paulo,SP,Redes Sociais,2024-08-10
291,Thiago Nascimento Dias,540.925.283-23,São Paulo,SP,E-commerce,2025-12-09
292,Henrique Alves Barbosa,639.358.934-55,Belo Horizonte,MG,Redes Sociais,2025-03-23
293,Mariana Martins Almeida,678.349.813-38,Rio de Janeiro,RJ,Redes Sociais,2023-06-15
294,Carla Martins Martins,486.665.587-17,São Paulo,SP,E-commerce,2023-12-17
295,Sofia Carvalho Rocha,903.439.679-22,Rio de Janeiro,RJ,E-commerce,2024-04-15
296,Mateus Vieira Lopes,377.147.176-97,Curitiba,PR,Redes Sociais,2023-03-09
297,Lucas Silva Alves,701.247.870-60,Belo Horizonte,MG,E-commerce,2024-09-04
298,Gabriel Pereira Vieira,954.969.498-96,Belo Horizonte,MG,Redes Sociais,2025-02-25
299,Mateus Andrade Oliveira,612.863.454-16,Belo Horizonte,MG,E-commerce,2025-06-14
300,Carla Costa Barbosa,887.728.709-60,Curitiba,PR,Redes Sociais,2023-03-02
301,Rafael Lopes Pereira,464.666.484-65,Porto Alegre,RS,Loja Física,2025-02-17
302,Camila Gomes Pereira,830.175.184-44,Rio de Janeiro,RJ,Loja Física,2025-02-17
303,Aline Martins Costa,469.209.193-10,Belo Horizonte,MG,Redes Sociais,2025-06-29
